1577876400000,1,1.9
1577876460000,1,1.8
1577876520000,1,1.7
1577876580000,1,1.6
1577876640000,1,1.5
1577876700000,1,1.4
1577876760000,1,1.3
1577876820000,1,1.2
1577876880000,1,1.1
1577876940000,1,1.0
1577877000000,1,1.1
1577877060000,1,1.2
1577877120000,1,1.1
1577877180000,1,1.2
1577877240000,1,1.1
1577877300000,1,1.1
1577877360000,1,1.1
1577877420000,1,1.1
1577877480000,1,1.1
1577877540000,1,1.4
1577877600000,1,1.5
1577877660000,1,1.1
1577877720000,1,0.9
1577877780000,1,0.8
1577877840000,1,0.7
1577877900000,1,0.6
1577877960000,1,0.5
1577878020000,1,0.4
1577878080000,1,0.3
1577878140000,1,0.2
1577878200000,1,0.1
1577878260000,1,0.0
1577878320000,1,0.5
1577878380000,1,0.9
1577878440000,1,0.7
1577878500000,1,0.1
1577878560000,1,0.8
1577878620000,1,0.7
1577878680000,1,0.3
1577878740000,1,0.2
1577878800000,1,0.0
1577878860000,1,0.9
1577878920000,1,1.0
1577878980000,1,1.1
1577879040000,1,1.5
1577879100000,1,1.4
1577879160000,1,1.3
1577879220000,1,1.2
1577879280000,1,1.5
1577879340000,1,1.4
1577879400000,1,1.3
1577879460000,1,1.2
1577879520000,1,1.1
1577879580000,1,1.9
1577879640000,1,1.8
1577879700000,1,1.7
1577879760000,1,1.3
1577879820000,1,1.2
1577879880000,1,1.4
1577879940000,1,1.7
1577880240000,2,1.9
1577880300000,2,1.8
1577880360000,2,1.7
1577880420000,2,1.6
1577880480000,2,1.5
1577880540000,2,1.4
1577880600000,2,1.0
1577880660000,2,1.0
1577880720000,2,1.0
1577880780000,2,1.5
1577880840000,2,1.4
1577880900000,2,1.4
1577880960000,2,1.2
1577881020000,2,1.5
1577881080000,2,1.1
1577881140000,2,1.9
1577881200000,2,1.5
1577881260000,2,1.0
1577881320000,2,1.0
1577881380000,2,1.1
1577882400000,2,0.5
1577882460000,2,0.9
1577882520000,2,0.7
1577882580000,2,0.4
1577882640000,2,0.2
1577882700000,2,0.1
